epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.84959,2.24408,2.8943,1.85555,0.34525,0.37904,0.26422,0.12462,1.61833,3.52057,1.31218,0.0002,0.0002,0.0002
2,4.74485,1.70557,1.57296,1.38418,0.63578,0.62118,0.6181,0.3206,1.45087,2.15816,1.27827,0.000415842,0.000415842,0.000415842
3,6.67226,1.58839,1.47275,1.29115,0.61388,0.59854,0.62347,0.32064,1.50933,1.55604,1.29795,0.000627328,0.000627328,0.000627328
4,8.57028,1.546,1.27203,1.26919,0.63403,0.60118,0.6447,0.33774,1.48465,2.22763,1.31376,0.000834458,0.000834458,0.000834458
5,10.4934,1.49074,1.21626,1.23478,0.62397,0.64706,0.66325,0.35876,1.4886,2.5703,1.34653,0.00103723,0.00103723,0.00103723
6,12.4622,1.50141,1.19553,1.23712,0.67787,0.59765,0.6683,0.37764,1.4158,1.7495,1.2849,0.00123565,0.00123565,0.00123565
7,14.3346,1.49044,1.20245,1.25522,0.71704,0.58731,0.67836,0.36846,1.49861,2.05648,1.3958,0.00142971,0.00142971,0.00142971
8,16.1215,1.39824,1.12587,1.23142,0.69069,0.64471,0.69431,0.37834,1.45844,1.43834,1.34007,0.00161942,0.00161942,0.00161942
9,17.9228,1.37781,1.05574,1.19157,0.68962,0.61952,0.68446,0.37683,1.48047,1.817,1.32202,0.00180477,0.00180477,0.00180477
10,19.7343,1.38973,1.12115,1.20745,0.68855,0.66118,0.71045,0.39445,1.4777,1.46633,1.34611,0.0018218,0.0018218,0.0018218
11,21.5938,1.45272,1.05203,1.23738,0.71338,0.54118,0.62426,0.32253,1.5368,1.61385,1.42106,0.001802,0.001802,0.001802
12,23.3399,1.3802,1.01346,1.19829,0.77364,0.66745,0.74266,0.43507,1.35219,1.29378,1.28862,0.0017822,0.0017822,0.0017822
13,25.1773,1.32857,0.99543,1.19746,0.77801,0.64941,0.73904,0.42094,1.39067,1.35515,1.30624,0.0017624,0.0017624,0.0017624
14,26.9033,1.34163,0.98504,1.19163,0.74992,0.68235,0.77445,0.43745,1.38853,1.43647,1.29395,0.0017426,0.0017426,0.0017426
15,28.7265,1.35393,0.9884,1.1996,0.67594,0.61765,0.66101,0.34874,1.48397,1.26111,1.38109,0.0017228,0.0017228,0.0017228
16,30.4984,1.44175,1.07628,1.23978,0.77264,0.65567,0.73701,0.40876,1.41476,1.11021,1.33655,0.001703,0.001703,0.001703
17,32.3099,1.33186,0.95729,1.17506,0.79205,0.73486,0.81255,0.48482,1.30954,1.05116,1.25782,0.0016832,0.0016832,0.0016832
18,34.2238,1.31798,0.96341,1.17049,0.80434,0.72706,0.81211,0.49057,1.27369,1.0914,1.21477,0.0016634,0.0016634,0.0016634
19,36.025,1.27212,0.91173,1.12739,0.79814,0.74118,0.80529,0.47956,1.29024,1.05759,1.2156,0.0016436,0.0016436,0.0016436
20,37.7969,1.22826,0.87565,1.12638,0.77526,0.74941,0.82168,0.5007,1.27424,0.9454,1.21445,0.0016238,0.0016238,0.0016238
21,39.6229,1.27113,0.8961,1.13334,0.79074,0.77796,0.84022,0.50762,1.27567,0.94672,1.21421,0.001604,0.001604,0.001604
22,41.527,1.25158,0.87401,1.14601,0.84344,0.69882,0.80349,0.47406,1.32678,0.98139,1.24476,0.0015842,0.0015842,0.0015842
23,43.4366,1.25529,0.86415,1.12237,0.80211,0.71882,0.80943,0.48383,1.32069,0.96789,1.23006,0.0015644,0.0015644,0.0015644
24,45.2812,1.22173,0.81134,1.09459,0.84878,0.71765,0.83483,0.50656,1.31354,0.91893,1.22403,0.0015446,0.0015446,0.0015446
25,47.0354,1.21982,0.80589,1.11599,0.82595,0.70588,0.81615,0.49381,1.31143,0.94061,1.25515,0.0015248,0.0015248,0.0015248
